source_doi,target_doi,source_title,target_title,weight,edge_type
10.18502/kss.v8i17.14121,10.18502/kss.v8i17.14121,Unleashing the Power of Capacity Building: Transforming Governance and Policy Im,Unleashing the Power of Capacity Building: Transforming Governance and Policy Im,1.0,citation
10.1016/j.techfore.2022.121562,10.1016/j.ijinfomgt.2019.08.002,Analysis of the adoption of emergent technologies for risk management in the era,Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challen,1.0,citation
